Type,9,d,7,2,6,3,a,i,h,5,e,b,c,g,4,8,f,1,
4e,2,1,0,1,1,1,0.5,1,0.5,1,2,1,0.5,2,0.5,0.5,1,0,
4f,2,1,1,0.5,2,0.5,0.5,2,0.5,0.5,1,1,1,1,0.25,1,2,1,
4g,2,1,2,1,1,1,0.5,2,0.5,1,0.5,0,2,0.5,0.5,1,1,1,
4h,4,0.5,2,2,0.5,1,0.25,0.5,0.25,0.5,1,0.5,0.5,1,0.5,0,0.5,0.5,
4i,2,1,0.5,1,1,1,0.5,1,1.0,1,1,1,0.5,0.5,0.5,2,0,1,
05,0.5,1,1,2,2,0.5,2,1,1,0.5,1,1,2,1,0.5,2,1,1,
5a,0.0,2,0.5,2,4,0.5,2,1,1,0.25,1,1,1.0,1,1.0,2,1,1,
5b,0.5,1,0.5,2,2,0.5,2,1,1,0.5,2,0.5,4,2,0.5,2,1,1,
5c,0.25,2,0.5,4,2,0.5,4,1,1,0.25,1,1,2,1,0.5,2,1,1,
5d,1.0,1,2,1.0,2,1.0,1.0,1,2,1.0,1,1,2,1,0.5,1.0,1,0.5,
5e,0.5,1,0,2,2,0.5,2,1,1,0.5,2,1,1.0,2,0.5,1.0,1,0,
5f,0.5,1,1,1.0,4,0.25,2,2,1,0.25,1,1,2,1,0.25,2,2,1,
5g,0.5,1,2,2,2,0.5,2,2,1,0.5,0.5,0,4,0.5,0.5,2,1,1,
5h,1.0,0.5,2,4,1.0,0.5,1.0,0.5,0.5,0.25,1,0.5,1.0,1,0.5,0,0.5,0.5,
5i,0.5,1,0.5,2,2,0.5,2,1,2,0.5,1,1,1.0,0.5,0.5,4,0,1,
06,1,2,2,2,0.5,1,1,1,2,1,1,1,1,1,1,1,1,1,
6a,0,4,1.0,2,1.0,1,1,1,2,0.5,1,1,0.5,1,2,1,1,1,
6b,1,2,1.0,2,0.5,1,1,1,2,1,2,0.5,2,2,1,1,1,1,
6c,0.5,4,1.0,4,0.5,1,2,1,2,0.5,1,1,1,1,1,1,1,1,
6d,2,2,4,1.0,0.5,2,0.5,1,4,2,1,1,1,1,1,0.5,1,0.5,
6e,1,2,0,2,0.5,1,1,1,2,1,2,1,0.5,2,1,0.5,1,0,
6f,1,2,2,1.0,1.0,0.5,1,2,2,0.5,1,1,1,1,0.5,1,2,1,
6g,1,2,4,2,0.5,1,1,2,2,1,0.5,0,2,0.5,1,1,1,1,
6h,2,1.0,4,4,0.25,1,0.5,0.5,1.0,0.5,1,0.5,0.5,1,1,0,0.5,0.5,
6i,1,2,1.0,2,0.5,1,1,1,4,1,1,1,0.5,0.5,1,2,0,1,
07,1,0.5,1,1,1,1,2,2,1,1,1,2,0.5,0.5,1,1,1,1,
7a,0,1.0,0.5,1,2,1,2,2,1,0.5,1,2,0.25,0.5,2,1,1,1,
7b,1,0.5,0.5,1,1,1,2,2,1,1,2,1.0,1.0,1.0,1,1,1,1,
7c,0.5,1.0,0.5,2,1,1,4,2,1,0.5,1,2,0.5,0.5,1,1,1,1,
7d,2,0.5,2,0.5,1,2,1.0,2,2,2,1,2,0.5,0.5,1,0.5,1,0.5,
7e,1,0.5,0,1,1,1,2,2,1,1,2,2,0.25,1.0,1,0.5,1,0,
7f,1,0.5,1,0.5,2,0.5,2,4,1,0.5,1,2,0.5,0.5,0.5,1,2,1,
7g,1,0.5,2,1,1,1,2,4,1,1,0.5,0,1.0,0.25,1,1,1,1,
7h,2,0.25,2,2,0.5,1,1.0,1.0,0.5,0.5,1,1.0,0.25,0.5,1,0,0.5,0.5,
7i,1,0.5,0.5,1,1,1,2,2,2,1,1,2,0.25,0.25,1,2,0,1,
08,2,1,0.5,1,0.5,1,1,0.5,1,1,1,2,0.5,1,1,0.5,1,1,
8a,0,2,0.25,1,1.0,1,1,0.5,1,0.5,1,2,0.25,1,2,0.5,1,1,
8b,2,1,0.25,1,0.5,1,1,0.5,1,1,2,1.0,1.0,2,1,0.5,1,1,
8c,1.0,2,0.25,2,0.5,1,2,0.5,1,0.5,1,2,0.5,1,1,0.5,1,1,
8d,4,1,1.0,0.5,0.5,2,0.5,0.5,2,2,1,2,0.5,1,1,0.25,1,0.5,
8e,2,1,0.0,1,0.5,1,1,0.5,1,1,2,2,0.25,2,1,0.25,1,0,
8f,2,1,0.5,0.5,1.0,0.5,1,1.0,1,0.5,1,2,0.5,1,0.5,0.5,2,1,
8g,2,1,1.0,1,0.5,1,1,1.0,1,1,0.5,0,1.0,0.5,1,0.5,1,1,
8h,4,0.5,1.0,2,0.25,1,0.5,0.25,0.5,0.5,1,1.0,0.25,1,1,0.0,0.5,0.5,
8i,2,1,0.25,1,0.5,1,1,0.5,2,1,1,2,0.25,0.5,1,1.0,0,1,
09,1,0.5,1,1,2,2,1,1,1,2,1,1,1,1,0,0.5,1,1,
9a,0,1.0,0.5,1,4,2,1,1,1,1.0,1,1,0.5,1,0,0.5,1,1,
9b,1,0.5,0.5,1,2,2,1,1,1,2,2,0.5,2,2,0,0.5,1,1,
9c,0.5,1.0,0.5,2,2,2,2,1,1,1.0,1,1,1,1,0,0.5,1,1,
9d,2,0.5,2,0.5,2,4,0.5,1,2,4,1,1,1,1,0,0.25,1,0.5,
9e,1,0.5,0,1,2,2,1,1,1,2,2,1,0.5,2,0,0.25,1,0,
9f,1,0.5,1,0.5,4,1.0,1,2,1,1.0,1,1,1,1,0.0,0.5,2,1,
9g,1,0.5,2,1,2,2,1,2,1,2,0.5,0,2,0.5,0,0.5,1,1,
9h,2,0.25,2,2,1.0,2,0.5,0.5,0.5,1.0,1,0.5,0.5,1,0,0.0,0.5,0.5,
9i,1,0.5,0.5,1,2,2,1,1,2,2,1,1,0.5,0.5,0,1.0,0,1,
12,2,2,2,0.5,0.5,2,1,0.5,0.5,0.5,0,1,0.5,1,1,1,1,1,
13,1,1,2,0.5,0.5,0.5,1,1,0.5,2,0,1,1,1,2,1,1,1,
14,2,1,2,1,1,1,0.5,1,0.5,1,0,1,1,1,0.5,1,1,1,
15,0.5,1,2,2,2,0.5,2,1,1,0.5,0,1,2,1,0.5,2,1,1,
16,1,2,4,2,0.5,1,1,1,2,1,0,1,1,1,1,1,1,1,
17,1,0.5,2,1,1,1,2,2,1,1,0,2,0.5,0.5,1,1,1,1,
18,2,1,1.0,1,0.5,1,1,0.5,1,1,0,2,0.5,1,1,0.5,1,1,
19,1,0.5,2,1,2,2,1,1,1,2,0,1,1,1,0,0.5,1,1,
23,2,2,1,0.25,0.25,1.0,1,0.5,0.25,1.0,1,1,0.5,1,2,1,1,1,
24,4,2,1,0.5,0.5,2,0.5,0.5,0.25,0.5,1,1,0.5,1,0.5,1,1,1,
25,1.0,2,1,1.0,1.0,1.0,2,0.5,0.5,0.25,1,1,1.0,1,0.5,2,1,1,
26,2,4,2,1.0,0.25,2,1,0.5,1.0,0.5,1,1,0.5,1,1,1,1,1,
27,2,1.0,1,0.5,0.5,2,2,1.0,0.5,0.5,1,2,0.25,0.5,1,1,1,1,
28,4,2,0.5,0.5,0.25,2,1,0.25,0.5,0.5,1,2,0.25,1,1,0.5,1,1,
29,2,1.0,1,0.5,1.0,4,1,0.5,0.5,1.0,1,1,0.5,1,0,0.5,1,1,
34,2,1,1,0.5,0.5,0.5,0.5,1,0.25,2,1,1,1,1,1.0,1,1,1,
35,0.5,1,1,1.0,1.0,0.25,2,1,0.5,1.0,1,1,2,1,1.0,2,1,1,
36,1,2,2,1.0,0.25,0.5,1,1,1.0,2,1,1,1,1,2,1,1,1,
37,1,0.5,1,0.5,0.5,0.5,2,2,0.5,2,1,2,0.5,0.5,2,1,1,1,
38,2,1,0.5,0.5,0.25,0.5,1,0.5,0.5,2,1,2,0.5,1,2,0.5,1,1,
39,1,0.5,1,0.5,1.0,1.0,1,1,0.5,4,1,1,1,1,0,0.5,1,1,
45,1.0,1,1,2,2,0.5,1.0,1,0.5,0.5,1,1,2,1,0.25,2,1,1,
46,2,2,2,2,0.5,1,0.5,1,1.0,1,1,1,1,1,0.5,1,1,1,
47,2,0.5,1,1,1,1,1.0,2,0.5,1,1,2,0.5,0.5,0.5,1,1,1,
48,4,1,0.5,1,0.5,1,0.5,0.5,0.5,1,1,2,0.5,1,0.5,0.5,1,1,
49,2,0.5,1,1,2,2,0.5,1,0.5,2,1,1,1,1,0.0,0.5,1,1,
56,0.5,2,2,4,1.0,0.5,2,1,2,0.5,1,1,2,1,0.5,2,1,1,
57,0.5,0.5,1,2,2,0.5,4,2,1,0.5,1,2,1.0,0.5,0.5,2,1,1,
58,1.0,1,0.5,2,1.0,0.5,2,0.5,1,0.5,1,2,1.0,1,0.5,1.0,1,1,
59,0.5,0.5,1,2,4,1.0,2,1,1,1.0,1,1,2,1,0.0,1.0,1,1,
67,1,1.0,2,2,0.5,1,2,2,2,1,1,2,0.5,0.5,1,1,1,1,
68,2,2,1.0,2,0.25,1,1,0.5,2,1,1,2,0.5,1,1,0.5,1,1,
69,1,1.0,2,2,1.0,2,1,1,2,2,1,1,1,1,0,0.5,1,1,
78,2,0.5,0.5,1,0.5,1,2,1.0,1,1,1,4,0.25,0.5,1,0.5,1,1,
79,1,0.25,1,1,2,2,2,2,1,2,1,2,0.5,0.5,0,0.5,1,1,
89,2,0.5,0.5,1,1.0,2,1,0.5,1,2,1,2,0.5,1,0,0.25,1,1,
ab,0,2,0.25,1,2,1,1,1,1,0.5,2,0.5,1.0,2,2,1,1,1,
ac,0.0,4,0.25,2,2,1,2,1,1,0.25,1,1,0.5,1,2,1,1,1,
ad,0,2,1.0,0.5,2,2,0.5,1,2,1.0,1,1,0.5,1,2,0.5,1,0.5,
ae,0,2,0.0,1,2,1,1,1,1,0.5,2,1,0.25,2,2,0.5,1,0,
af,0,2,0.5,0.5,4,0.5,1,2,1,0.25,1,1,0.5,1,1.0,1,2,1,
ag,0,2,1.0,1,2,1,1,2,1,0.5,0.5,0,1.0,0.5,2,1,1,1,
ah,0,1.0,1.0,2,1.0,1,0.5,0.5,0.5,0.25,1,0.5,0.25,1,2,0,0.5,0.5,
ai,0,2,0.25,1,2,1,1,1,2,0.5,1,1,0.25,0.5,2,2,0,1,
bc,0.5,2,0.25,2,1,1,2,1,1,0.5,2,0.5,2,2,1,1,1,1,
bd,2,1,1.0,0.5,1,2,0.5,1,2,2,2,0.5,2,2,1,0.5,1,0.5,
be,1,1,0.0,1,1,1,1,1,1,1,4,0.5,1.0,4,1,0.5,1,0,
bf,1,1,0.5,0.5,2,0.5,1,2,1,0.5,2,0.5,2,2,0.5,1,2,1,
bg,1,1,1.0,1,1,1,1,2,1,1,1.0,0.0,4,1.0,1,1,1,1,
bh,2,0.5,1.0,2,0.5,1,0.5,0.5,0.5,0.5,2,0.25,1.0,2,1,0,0.5,0.5,
bi,1,1,0.25,1,1,1,1,1,2,1,2,0.5,1.0,1.0,1,2,0,1,
cd,1.0,2,1.0,1.0,1,2,1.0,1,2,1.0,1,1,1,1,1,0.5,1,0.5,
ce,0.5,2,0.0,2,1,1,2,1,1,0.5,2,1,0.5,2,1,0.5,1,0,
cf,0.5,2,0.5,1.0,2,0.5,2,2,1,0.25,1,1,1,1,0.5,1,2,1,
ch,1.0,1.0,1.0,4,0.5,1,1.0,0.5,0.5,0.25,1,0.5,0.5,1,1,0,0.5,0.5,
ci,0.5,2,0.25,2,1,1,2,1,2,0.5,1,1,0.5,0.5,1,2,0,1,
de,2,1,0,0.5,1,2,0.5,1,2,2,2,1,0.5,2,1,0.25,1,0.0,
df,2,1,2,0.25,2,1.0,0.5,2,2,1.0,1,1,1,1,0.5,0.5,2,0.5,
dg,2,1,4,0.5,1,2,0.5,2,2,2,0.5,0,2,0.5,1,0.5,1,0.5,
dh,4,0.5,4,1.0,0.5,2,0.25,0.5,1.0,1.0,1,0.5,0.5,1,1,0.0,0.5,0.25,
di,2,1,1.0,0.5,1,2,0.5,1,4,2,1,1,0.5,0.5,1,1.0,0,0.5,
ef,1,1,0,0.5,2,0.5,1,2,1,0.5,2,1,0.5,2,0.5,0.5,2,0,
eg,1,1,0,1,1,1,1,2,1,1,1.0,0,1.0,1.0,1,0.5,1,0,
eh,2,0.5,0,2,0.5,1,0.5,0.5,0.5,0.5,2,0.5,0.25,2,1,0.0,0.5,0.0,
ei,1,1,0.0,1,1,1,1,1,2,1,2,1,0.25,1.0,1,1.0,0,0,
fg,1,1,2,0.5,2,0.5,1,4,1,0.5,0.5,0,2,0.5,0.5,1,2,1,
fh,2,0.5,2,1.0,1.0,0.5,0.5,1.0,0.5,0.25,1,0.5,0.5,1,0.5,0,1.0,0.5,
fi,1,1,0.5,0.5,2,0.5,1,2,2,0.5,1,1,0.5,0.5,0.5,2,0,1,
gh,2,0.5,4,2,0.5,1,0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.5,1,0,0.5,0.5,
gi,1,1,1.0,1,1,1,1,2,2,1,0.5,0,1.0,0.25,1,2,0,1,
hi,2,0.5,1.0,2,0.5,1,0.5,0.5,1.0,0.5,1,0.5,0.25,0.5,1,0,0.0,0.5,0
